word,pos,example_sentence,collocations,root_analysis,synonyms,category,topic,card_type,zh_hint,notes
conduct,v.,Researchers conducted a survey of two thousand university students.,conduct research; conduct a survey; conduct an experiment,"con-(一起) + duct(引導, 同 conductor 導體/introduce) → 引導著進行",carry out; perform; undertake,AWL,Sublist 2,passive,進行、執行,學術寫作講「做研究」幾乎都用這個字，不用 do research
constitute,v.,Migrant workers constitute nearly a third of the city's workforce.,constitute a threat; constitute a majority; constitute evidence,"con-(一起) + stitut(建立, 同 institute/substitute) → 一起建立成 → 組成",make up; form; comprise; account for,AWL,Sublist 1,passive,構成、組成,
advocate,v.,Many educators advocate replacing final exams with continuous assessment.,advocate a policy; advocate for reform; strongly advocate,"ad-(朝向) + voc(聲音, 同 voice/vocal/vocation) + -ate → 為某事發聲",support; champion; promote; call for,AWL,Sublist 7,passive,提倡、主張,Task 2 表達立場好用；名詞 an advocate of 也很常見
allocate,v.,The council allocates a fixed budget to each district every year.,allocate resources; allocate funding; allocate time,"ad-(朝向) + loc(地方, 同 location/local) + -ate → 放到該去的位置",distribute; assign; apportion; earmark,AWL,Sublist 6,passive,分配、撥出,
implement,v.,The government implemented stricter penalties for repeat offenders.,implement a policy; implement measures; implement reforms,"im-(進入) + ple(填滿, 同 complete/supplement) + -ment → 填滿內容 → 付諸實行",carry out; enforce; put into practice; execute,AWL,Sublist 4,passive,實施、執行,
accumulate,v.,Toxins from processed food gradually accumulate in the body.,accumulate wealth; accumulate evidence; accumulate over time,"ac-(朝向) + cumul(堆積, 同 cumulative) + -ate → 一層層堆起來",build up; amass; gather; pile up,AWL,Sublist 8,passive,逐漸累積,
compensate,v.,Longer holidays do not compensate for consistently low wages.,compensate for; compensate workers; adequately compensate,"com-(一起) + pens(秤重、支付, 同 expense/pension) + -ate → 秤平、補足",make up for; offset; reimburse; counterbalance,AWL,Sublist 3,passive,彌補、補償,compensate for 的 for 不能省
attribute,v.,Analysts attribute the drop in sales to the rise of online shopping.,attribute the rise to; be attributed to; widely attributed,"at-(朝向) + tribut(給予, 同 tribute/contribute/distribute) → 把原因歸給…",ascribe; credit; put down to,AWL,Sublist 4,passive,歸因於,attribute A to B 的搭配一定要記
inevitable,adj.,Rapid urbanisation makes some loss of farmland inevitable.,an inevitable consequence; an inevitable decline; almost inevitable,"in-(不) + evit(避開, 同 evade/evitable) + -able → 無法避開的",unavoidable; inescapable; certain; bound to happen,AWL,Sublist 8,passive,不可避免的,
pose,v.,Rising sea levels pose a serious threat to coastal communities.,pose a threat; pose a risk; pose a challenge; pose a question,"pos(放置, 同 position/expose/compose) → 把某物放到眼前 → 造成、提出",present; constitute; raise; create,AWL,Sublist 10,passive,造成（威脅）、提出,pose a threat / pose a risk 是閱讀高頻搭配
bias,n.,Readers should be aware of the political bias of the newspapers they follow.,media bias; political bias; a bias towards; unconscious bias,原指保齡球球體偏一邊滾的斜度 → 偏向某一邊,prejudice; partiality; slant; one-sidedness,AWL,Sublist 8,passive,偏見、偏向,
infrastructure,n.,The city has invested heavily in transport infrastructure over the past decade.,invest in infrastructure; ageing infrastructure; transport infrastructure,"infra-(在下面, 同 infrared 紅外線) + structure(結構) → 撐在底下的結構",public facilities; basic systems; utilities; networks,AWL,Sublist 8,passive,基礎建設,
integrate,v.,Schools are gradually integrating digital tools into everyday lessons.,integrate into; fully integrated; integrate with,"integr(完整, 同 integrity/entire) + -ate → 併成完整的一體",combine; incorporate; merge; bring together,AWL,Sublist 4,passive,整合、融入,
offset,v.,Planting trees can partly offset the emissions produced by air travel.,offset emissions; offset the impact; partly offset,off(離開) + set(放置) → 放到另一邊去抵掉,counterbalance; compensate for; cancel out; counteract,AWL,Sublist 8,passive,抵銷,
analyse,v.,Researchers analysed data from more than fifty countries.,analyse data; carefully analyse; analyse the results,"ana-(徹底) + lys(鬆開, 同 analysis/paralysis) → 拆開來一項項看",examine; study; break down; scrutinise,AWL,Sublist 1,passive,分析,美式拼 analyze，雅思兩種都接受，但一份作文裡要統一
approach,n.,The school has adopted a completely new approach to teaching maths.,a new approach; take an approach; a holistic approach,"ap-(朝向) + proach(接近, 拉丁 prope 近, 同 proximity) → 走近某事的方式",method; way; strategy; tactic,AWL,Sublist 1,passive,方法、途徑,
area,n.,Rainfall in coastal areas is twice the national average.,a rural area; in this area; a key area of research,拉丁 area「空地」→ 一塊範圍，抽象化後也指「領域」,region; zone; field; sphere,AWL,Sublist 1,passive,區域、領域,
assess,v.,The report assesses the impact of tourism on local wildlife.,assess the impact; carefully assess; assess progress,"as-(朝向) + sess(坐, 同 session/sedentary；法官坐下來核定稅額) → 坐下來評定",evaluate; judge; appraise; gauge,AWL,Sublist 1,passive,評估,
assume,v.,Planners assumed that car ownership would keep rising.,assume responsibility; widely assumed; safely assume,"as-(朝向) + sum(拿取, 同 consume/resume) → 直接拿過來當前提",presume; take for granted; suppose,AWL,Sublist 1,passive,假設；承擔,
authority,n.,The local authority approved the plan despite public opposition.,the local authority; in authority; an authority on,"auth(創始者, 同 author) + -ity → 有資格說話的來源 → 權威、當局",power; jurisdiction; the officials; expert,AWL,Sublist 1,passive,當局；權威,
available,adj.,Free legal advice is available to all students.,readily available; become available; widely available,"a-(朝向) + val(價值、有效, 同 value/valid/prevail) + -able → 派得上用場的",obtainable; accessible; on hand; to be had,AWL,Sublist 1,passive,可取得的,
benefit,n.,The main benefit of cycling is that it costs almost nothing.,derive benefit from; mutual benefit; the benefits of,"bene(好, 同 benefactor/benevolent) + fit/fact(做) → 做好事帶給人的東西",advantage; gain; upside; payoff,AWL,Sublist 1,passive,好處,
concept,n.,The concept of a four-day week is no longer unusual.,grasp a concept; the concept of; an abstract concept,"con-(一起) + cept(拿, 同 accept/receive/capture) → 把想法整個抓起來",idea; notion; principle,AWL,Sublist 1,passive,概念,
consist,v.,The programme consists of four modules and a research project.,consist of; consist largely of; the course consists of,"con-(一起) + sist(站, 同 assist/resist/insist) → 一起站著構成整體",be made up of; comprise; be composed of,AWL,Sublist 1,passive,由…組成,consist of 沒有被動式，不能說 is consisted of
context,n.,The figure means little without the wider economic context.,in this context; historical context; out of context,"con-(一起) + text(編織, 同 textile/texture) → 一起織出來的背景",setting; background; circumstances,AWL,Sublist 1,passive,脈絡、背景,
contract,n.,Workers on short-term contracts have far fewer rights.,sign a contract; a binding contract; under contract,"con-(一起) + tract(拉, 同 attract/extract/tractor) → 把雙方拉在一起",agreement; deal; formal arrangement,AWL,Sublist 1,passive,合約,
create,v.,The scheme created more than two thousand jobs in one year.,create jobs; create an impression; newly created,拉丁 creare「使生長」(同 creature/increase/recreation) → 讓東西生出來,produce; generate; bring about; establish,AWL,Sublist 1,passive,創造,
data,n.,The data collected over ten years show a clear downward trend.,collect data; raw data; data suggests,拉丁 datum「被給予的東西」的複數 → 已經給定的事實,figures; statistics; information,AWL,Sublist 1,passive,數據,學術寫作常當複數：the data show，不是 shows
define,v.,The report never defines what it means by “poverty”.,clearly define; define the term; be defined as,"de-(徹底) + fin(界線, 同 finish/finite/confine) → 把界線劃清楚",specify; explain; delineate; set out,AWL,Sublist 1,passive,定義,
derive,v.,Most of the country's income derives from tourism.,derive from; be derived from; derive benefit,"de-(從…而下) + riv(河流, 同 river/rival) → 從源頭把水引過來",come from; stem from; originate; obtain,AWL,Sublist 1,passive,源自、取得,
distribute,v.,Vaccines were distributed to rural clinics first.,distribute resources; evenly distributed; distribute aid,"dis-(分開) + tribut(給予, 同 tribute/contribute/attribute) → 分開發出去",hand out; allocate; spread; disperse,AWL,Sublist 1,passive,分配、分送,
economy,n.,The economy grew by just under two per cent last year.,the global economy; a growing economy; economies of scale,"eco(家, 希臘 oikos, 同 ecology) + nom(管理, 同 astronomy) → 管家 → 經濟",financial system; market; national finances,AWL,Sublist 1,passive,經濟,
environment,n.,Heavy industry has damaged the environment along the whole river.,protect the environment; a safe environment; the working environment,"en-(在…之中) + viron(圍繞, 法文 virer 轉) + -ment → 圍在四周的一切",surroundings; setting; conditions; habitat,AWL,Sublist 1,passive,環境,
establish,v.,The university established a research centre for renewable energy.,establish a system; well established; establish a link,"拉丁 stabilire「使穩固」(sta 站, 同 stable/static/stand) → 立穩下來",set up; found; create; institute,AWL,Sublist 1,passive,建立,
estimate,v.,Engineers estimate that repairs will take eighteen months.,estimate the cost; roughly estimate; it is estimated that,拉丁 aestimare「評定價值」(同 esteem/aim) → 抓個大概的價,calculate roughly; put at; reckon; gauge,AWL,Sublist 1,passive,估計,
evident,adj.,It is evident from the graph that demand peaked in 2012.,it is evident that; clearly evident; become evident,"e-(出來) + vid(看, 同 video/vision/provide) + -ent → 一看就看得出來的",obvious; clear; apparent; plain,AWL,Sublist 1,passive,明顯的,
export,v.,The country exports more coffee than any other producer.,export goods; export to Europe; a major export,"ex-(出去) + port(帶, 同 portable/transport/import) → 帶出國門",send abroad; ship overseas; sell overseas,AWL,Sublist 1,passive,出口,
factor,n.,Cost is the single biggest factor in choosing a university.,a key factor; contributing factors; a major factor in,"fact(做, 同 factory/manufacture/affect) + -or → 促成事情發生的東西",element; consideration; cause; influence,AWL,Sublist 1,passive,因素,
finance,v.,The new library was financed entirely by donations.,finance a project; publicly financed; finance the scheme,"fin(結束, 同 finish/final)；原指「把債務結清」→ 出錢了結 → 資助",fund; pay for; back; bankroll,AWL,Sublist 1,passive,提供資金,
formula,n.,There is no simple formula for reducing traffic in old cities.,a simple formula; apply a formula; a winning formula,拉丁 forma「形式」的小詞 → 一個固定的小格式,recipe; method; set procedure,AWL,Sublist 1,passive,公式、方法,複數 formulae 或 formulas 都可以
function,n.,The building's main function is to house the city archive.,perform a function; the main function; function as,"funct(履行, 拉丁 fungi, 同 defunct 失效的) + -ion → 所要履行的事",role; purpose; job; use,AWL,Sublist 1,passive,功能,
identify,v.,Researchers identified three causes of the decline.,identify a problem; correctly identify; identify with,"ident(相同, 同 identical/identity) + -fy(使) → 認出這是同一個",recognise; pinpoint; name; single out,AWL,Sublist 1,passive,辨識、指出,
income,n.,Households on a low income spend a third of it on rent.,a low income; household income; disposable income,in(進來) + come(來) → 進到口袋裡的錢,earnings; revenue; pay; takings,AWL,Sublist 1,passive,收入,
indicate,v.,The survey indicates that most students study part-time.,indicate a trend; clearly indicate; the figures indicate,"in-(朝向) + dic(說、指, 同 dictate/index/predict) + -ate → 指出來給人看",show; suggest; point to; signal,AWL,Sublist 1,passive,顯示、指出,Task 1 的高分替換：The graph indicates… 比 shows 更正式
